,装车地点,作业线路,装车去向,配空车次,配空车数,实装重车,调妥时间,封堵开始,封堵结束,装车开始,装车完毕,平车开始,平车结束,具备挂车条件,挂车时间,线内作业时间分析,待挂时间分析
0,实业一期,专一,港陆遵化南,1,54,52,12:33,0:33,5:20,12:22,00:00,12:33,14:55,19:55,23:55,这是1,这是2
1,实业一期,专一,首钢沙河驿,2,53,51,00:11,21:21,15:54,16:33,16:22,,,18:45,19:22,确实厉害啊,
2,实业一期,专一,﻿无,,,,0056,,,,,,,0057,1:22,,
3,实业一期,专一,﻿无,,,,0023,,,,,,,5:45,10:56,吹牛逼呢,sad
4,实业一期,专一,﻿无,,,,,,,,,,,,,,
5,实业一期,专一,﻿无,,,,,,,,,,,,,,
6,实业一期,专一,﻿无,,,,,,,,,,,,,,
7,实业一期,专一,古冶国义,,,,,,,,,,,,,,
8,实业二期,专三,﻿无,,,,,,,,,,,,,,
9,实业二期,专三,古冶国义,5,,,,,,,,,,,,,
10,实业二期,专四,九江沙河驿,6,,,,,,,,,,,,,
11,实业二期,专三,松汀沙河驿,7,,,,,,,,,,,,,
12,实业二期,专三,﻿无,,,,,,,,,,,,,,
13,实业二期,专三,﻿无,,,,,,,,,,,,,,
14,实业二期,专三,﻿无,,,,,,,,,,,,,,
15,实业二期,专三,﻿无,,,,,,,,,,,,,,
16,实业二期,专三,﻿无,,,,,,,,,,,,,,
17,矿三,矿一,﻿无,,,,,,,,,,,,,,
18,矿三,矿一,古冶国义,8,,,,,,,,,,,,,
19,矿三,矿二,鑫达沙河驿,9,,,,,,,,,,,,,
20,矿三,矿一,松汀沙河驿,0,,,,,,,,,,,,,
21,矿三,矿一,﻿无,,,,,,,,,,,,,,
22,矿三,矿一,﻿无,,,,,,,,,,,,,,
23,矿三,矿一,﻿无,,,,,,,,,,,,,,
24,矿三,矿一,﻿无,,,,,,,,,,,,,,
25,矿三,矿一,﻿无,,,,,,,,,,,,,,
